Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,17.257067,17.369146,16.87998,17.065783,17.065783,172921733
2008-01-03,17.067528,17.107128,16.849842,17.069269,17.069269,130587647
2008-01-04,16.928797,16.960428,16.313852,16.363665,16.363665,215195594
2008-01-07,16.287451,16.495173,15.874249,16.170637,16.170637,257096061
2008-01-08,16.264038,16.437389,15.716092,15.733029,15.733029,214364490
2008-01-09,15.692182,16.272507,15.504635,16.26902,16.26902,270598482
2008-01-10,16.065035,16.368647,15.942992,16.107874,16.107874,254317685
2008-01-11,16.0075,16.176119,15.693925,15.896665,15.896665,199826201
2008-01-14,16.217712,16.373629,16.071012,16.284462,16.284462,178566813
2008-01-15,16.0872,16.165657,15.825183,15.881721,15.881721,223562839
2008-01-16,15.665532,15.940003,14.992056,15.341247,15.341247,423983259
2008-01-17,15.461048,15.585083,14.894422,14.963663,14.963663,329903943
2008-01-18,15.152206,15.192804,14.905381,14.950213,14.950213,342864341
2008-01-22,13.998281,14.88172,13.977608,14.554197,14.554197,381484558
2008-01-23,13.965404,14.146974,12.926548,13.664283,13.664283,681171664
2008-01-24,13.917833,14.438132,13.801768,14.308618,14.308618,377445475
2008-01-25,14.740001,14.819453,14.101644,14.107123,14.107123,279684411
2008-01-28,14.220946,14.252578,13.663785,13.847596,13.847596,233540097
2008-01-29,13.959427,13.980846,13.466275,13.711606,13.711606,252262009
2008-01-30,13.67848,13.95843,13.53701,13.655566,13.655566,318774383
2008-01-31,13.42493,14.271507,13.307371,14.054819,14.054819,597081651
2008-02-01,13.167395,13.366649,12.702388,12.849338,12.849338,706658840
2008-02-04,12.679225,12.771629,12.267767,12.339499,12.339499,528256642
2008-02-05,12.190059,12.677482,12.167394,12.622687,12.622687,449811709
2008-02-06,12.730782,12.731529,12.401765,12.495912,12.495912,306600924
2008-02-07,12.375115,12.806747,12.322811,12.57661,12.57661,318344779
2008-02-08,12.687693,12.894917,12.67001,12.869014,12.869014,274179856
2008-02-11,12.964406,13.043858,12.787071,12.980346,12.980346,233913491
2008-02-12,13.035888,13.215465,12.777855,12.903883,12.903883,267490877
2008-02-13,13.013721,13.324805,12.918827,13.31559,13.31559,265981240
2008-02-14,13.408492,13.475491,13.225428,13.256561,13.256561,260039050
2008-02-15,13.158429,13.266773,13.059301,13.191555,13.191555,210389647
2008-02-19,13.32356,13.326549,12.615215,12.676236,12.676236,254968114
2008-02-20,12.540744,12.727544,12.423932,12.677482,12.677482,267486862
2008-02-21,12.773372,12.782339,12.440869,12.524555,12.524555,227963272
2008-02-22,12.50463,12.677482,12.392301,12.647594,12.647594,221462998
2008-02-25,12.601516,12.615215,12.098153,12.115588,12.115588,336167332
2008-02-26,11.486944,11.618202,11.129534,11.561415,11.561415,934983461
2008-02-27,11.460294,11.84286,11.44809,11.777356,11.777356,406393575
2008-02-28,11.718576,11.932524,11.640369,11.840369,11.840369,264463573
2008-02-29,11.752698,11.948713,11.572872,11.735512,11.735512,378429149
2008-03-03,11.743732,11.773869,11.210729,11.382834,11.382834,303312645
2008-03-04,11.231651,11.291676,10.853817,11.073494,11.073494,546910299
2008-03-05,11.089683,11.31185,11.05855,11.150704,11.150704,298578968
2008-03-06,11.150455,11.290182,10.739247,10.777105,10.777105,299923991
2008-03-07,10.681961,10.958923,10.616208,10.793294,10.793294,324082204
2008-03-10,10.680716,10.734763,10.28744,10.301886,10.301886,320701579
2008-03-11,10.591799,10.962659,10.576606,10.954938,10.954938,354399416
2008-03-12,10.959172,11.155188,10.910853,10.963406,10.963406,267073318
2008-03-13,10.776358,11.132772,10.679471,11.033892,11.033892,310222448
2008-03-14,11.033145,11.191551,10.725299,10.907117,10.907117,263961699
2008-03-17,10.659794,10.80226,10.264277,10.457553,10.457553,316710676
2008-03-18,10.684452,10.979845,10.598524,10.938002,10.938002,290573072
2008-03-19,10.98657,11.145723,10.751451,10.75967,10.75967,248086416
2008-03-20,10.643107,10.851825,10.398524,10.798275,10.798275,398022314
2008-03-24,10.91982,11.601017,10.902136,11.471004,11.471004,271554050
2008-03-25,11.393793,11.394042,11.108363,11.227417,11.227417,234138331
2008-03-26,11.272498,11.528538,11.190306,11.411975,11.411975,209811488
2008-03-27,11.108363,11.173369,10.971128,11.060542,11.060542,234162421
2008-03-28,11.144727,11.296906,10.817204,10.911103,10.911103,175704123
2008-03-31,10.85033,11.025922,10.759919,10.970629,10.970629,178522648
2008-04-01,11.151701,11.618949,11.130032,11.599273,11.599273,244637537
2008-04-02,11.703632,11.849087,11.46677,11.599024,11.599024,240859429
2008-04-03,11.500145,11.538999,11.161414,11.335512,11.335512,272152284
2008-04-04,11.382585,11.901142,11.362411,11.733271,11.733271,236772166
2008-04-07,11.881216,12.090681,11.794043,11.875986,11.875986,238631108
2008-04-08,11.781839,11.809236,11.507118,11.651577,11.651577,182561731
2008-04-09,11.684454,11.755936,11.395786,11.561415,11.561415,242830791
2008-04-10,11.580593,11.802262,11.503133,11.683208,11.683208,203656504
2008-04-11,11.558426,11.637878,11.332772,11.393544,11.393544,167413162
2008-04-14,11.386321,11.393544,11.211726,11.249335,11.249335,154280120
2008-04-15,11.410481,11.450082,11.051576,11.129285,11.129285,183790319
2008-04-16,11.068512,11.414217,10.98383,11.33327,11.33327,306372069
2008-04-17,11.348214,11.441365,11.121315,11.196533,11.196533,536122013
2008-04-18,13.330285,13.641369,13.070259,13.434893,13.434893,732158060
2008-04-21,13.434395,13.514096,13.207744,13.394544,13.394544,298703433
2008-04-22,13.389064,13.968393,13.388815,13.823187,13.823187,318730218
2008-04-23,13.896413,13.930535,13.473249,13.611232,13.611232,197597880
2008-04-24,13.730784,13.810485,13.450086,13.525304,13.525304,166023975
2008-04-25,13.674246,13.773374,13.517583,13.550709,13.550709,167200368
2008-04-28,13.596039,13.868268,13.424681,13.751456,13.751456,160945009
2008-04-29,13.719327,14.032403,13.698903,13.909613,13.909613,174491595
