Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,67.077499,68.406998,67.077499,68.3685,68.3685,28132000
2020-01-03,67.392998,68.625,67.277199,68.032997,68.032997,23728000
2020-01-06,67.5,69.824997,67.5,69.710503,69.710503,34646000
2020-01-07,69.897003,70.149498,69.518997,69.667,69.667,30054000
2020-01-08,69.603996,70.579002,69.542,70.216003,70.216003,30560000
2020-01-09,71.028503,71.366501,70.513496,70.991501,70.991501,30018000
2020-01-10,71.377998,71.746452,70.917503,71.486504,71.486504,36414000
2020-01-13,71.806503,72.026001,71.301003,71.961502,71.961502,33046000
2020-01-14,71.9505,72.089996,71.418503,71.543999,71.543999,31178000
2020-01-15,71.510498,72.069748,71.510498,71.959999,71.959999,25654000
2020-01-16,72.372002,72.599503,72.045998,72.584999,72.584999,23474000
2020-01-17,73.1455,74.064751,72.911003,74.019501,74.019501,47924000
2020-01-21,73.956001,74.592499,73.559998,74.220001,74.220001,40734000
2020-01-22,74.550003,75.160698,74.246498,74.297501,74.297501,32216000
2020-01-23,74.382004,74.776001,74.105003,74.332497,74.332497,27024000
2020-01-24,74.679497,74.77475,73.262497,73.335503,73.335503,35692000
2020-01-27,71.550003,71.903503,71.059998,71.695,71.695,35104000
2020-01-28,72.150002,72.800003,71.623497,72.627998,72.627998,31548000
2020-01-29,72.940002,73.2715,72.336998,72.931503,72.931503,21554000
2020-01-30,71.998001,72.863998,71.82,72.792,72.792,26788000
2020-01-31,73.445,73.5065,71.426498,71.711502,71.711502,48344000
2020-02-03,73.099998,74.5,72.949501,74.296997,74.296997,60736000
2020-02-04,72.8535,73.474998,71.315002,72.3535,72.3535,78660000
2020-02-05,73.121002,73.192001,71.528,72.411499,72.411499,39724000
2020-02-06,72.516502,74.099998,72.4785,73.811501,73.811501,33588000
2020-02-07,73.364998,74.292,73.317497,73.961502,73.961502,23446000
2020-02-10,73.716003,75.474998,73.716003,75.433998,75.433998,28398000
2020-02-11,75.5905,76.481499,75.281898,75.439499,75.439499,26892000
2020-02-12,75.723999,76.034752,75.405502,75.913498,75.913498,23352000
2020-02-13,75.634499,76.359001,75.230003,75.733002,75.733002,18590000
2020-02-14,75.779999,76.037003,75.366997,76.037003,76.037003,23956000
2020-02-18,75.75,76.581497,75.629501,75.983498,75.983498,22414000
2020-02-19,76.253502,76.605301,76.07,76.334503,76.334503,18986000
2020-02-20,76.099998,76.482002,75.341003,75.907501,75.907501,21932000
2020-02-21,75.401497,75.610748,74.022003,74.255501,74.255501,34634000
2020-02-24,71.305496,71.848503,70.569504,71.079498,71.079498,57342000
2020-02-25,71.650002,71.906998,69.120003,69.422501,69.422501,49566000
2020-02-26,69.806999,70.785004,68.949997,69.658997,69.658997,44048000
2020-02-27,68.102997,68.585197,65.858498,65.904503,65.904503,59566000
2020-02-28,63.875,67.056999,63.549999,66.966499,66.966499,75782000
2020-03-02,67.580498,69.543503,66.340752,69.455498,69.455498,48630000
2020-03-03,69.971001,70.5075,66.599998,67.069504,67.069504,48046000
2020-03-04,67.961502,69.404503,67.155502,69.325996,69.325996,38266000
2020-03-05,67.510002,67.945503,65.254997,65.952003,65.952003,51226000
2020-03-06,63.853001,65.310997,63.052502,64.920502,64.920502,53212000
2020-03-09,60.264999,62.737999,60.0,60.778,60.778,67308000
2020-03-10,63.0,64.057503,60.938499,64.019501,64.019501,52228000
2020-03-11,62.485001,63.048,59.803501,60.7705,60.7705,52170000
2020-03-12,56.299999,59.693501,55.665001,55.745499,55.745499,84534000
2020-03-13,58.950001,60.987999,55.857151,60.9865,60.9865,74002000
2020-03-16,54.799999,57.61335,53.722,54.216499,54.216499,85048000
2020-03-17,54.655499,56.542999,52.800499,55.990002,55.990002,77230000
2020-03-18,52.8255,55.325001,51.863998,54.84,54.84,84668000
2020-03-19,54.6525,57.898499,53.005402,55.7645,55.7645,73022000
2020-03-20,56.785999,57.199501,53.274502,53.616001,53.616001,72036000
2020-03-23,53.066002,53.566002,50.6768,52.831001,52.831001,80882000
2020-03-24,55.188499,56.75,54.530998,56.723,56.723,66890000
2020-03-25,56.323502,57.445,54.300499,55.1245,55.1245,81630000
2020-03-26,55.59,58.498501,54.676498,58.087502,58.087502,71434000
2020-03-27,56.283501,57.533501,55.295502,55.5355,55.5355,64170000
2020-03-30,56.251999,57.581501,54.824001,57.341,57.341,51482000
2020-03-31,57.365002,58.765499,56.907001,58.140499,58.140499,49728000
2020-04-01,56.099998,56.484501,54.872501,55.280998,55.280998,46884000
2020-04-02,54.912998,56.342999,54.82,56.042,56.042,39298000
2020-04-03,55.950748,56.176998,53.990501,54.894001,54.894001,46268000
2020-04-06,56.900002,59.733002,56.547001,59.346001,59.346001,53294000
2020-04-07,61.049999,61.25,59.1115,59.3255,59.3255,47746000
2020-04-08,60.325001,60.953499,59.408001,60.514,60.514,39502000
2020-04-09,61.203999,61.2785,59.83675,60.572498,60.572498,43508000
2020-04-13,60.459,61.025501,59.379902,60.877998,60.877998,34796000
2020-04-14,62.254501,64.1035,61.8465,63.461498,63.461498,49408000
2020-04-15,62.280499,64.023003,62.02,63.123501,63.123501,33434000
2020-04-16,63.705002,63.950001,62.131001,63.1735,63.1735,50362000
2020-04-17,64.2425,64.721497,63.561501,64.162498,64.162498,38980000
2020-04-20,63.549999,64.080002,63.068501,63.330502,63.330502,33910000
2020-04-21,62.349998,62.713501,60.4855,60.817001,60.817001,43060000
2020-04-22,62.277,64.280647,62.099998,63.1605,63.1605,41848000
2020-04-23,63.577499,64.665497,63.283501,63.815498,63.815498,31324000
2020-04-24,63.058498,64.019997,62.4725,63.9655,63.9655,32792000
2020-04-27,64.800003,64.807503,63.450001,63.793999,63.793999,32012000
2020-04-28,64.3965,64.402496,61.610001,61.683498,61.683498,59026000
2020-04-29,67.072998,67.999496,66.266998,67.073997,67.073997,75872000
2020-04-30,66.244003,67.640999,66.124496,67.432999,67.432999,53378000
2020-05-01,66.425003,67.6035,65.550003,66.030502,66.030502,41450000
2020-05-04,65.411499,66.383003,64.949997,66.339996,66.339996,30080000
2020-05-05,66.896004,68.696999,66.873001,67.555496,67.555496,33030000
2020-05-06,68.084503,68.556,67.364502,67.364998,67.364998,24308000
2020-05-07,68.296997,68.879997,67.763496,68.627998,68.627998,27952000
2020-05-08,69.156502,69.938004,68.774002,69.418503,69.418503,27738000
2020-05-11,68.914001,70.8265,68.857597,70.163002,70.163002,28242000
2020-05-12,70.356003,70.75,68.738503,68.787003,68.787003,27812000
2020-05-13,68.852501,69.274101,66.419998,67.466499,67.466499,36252000
2020-05-14,66.750999,67.871002,66.195503,67.806503,67.806503,32062000
2020-05-15,67.5,68.723999,66.949997,68.6595,68.6595,34154000
2020-05-18,68.087502,69.616249,67.712502,69.196999,69.196999,36448000
2020-05-19,69.349854,69.599998,68.674248,68.674248,68.674248,25612000
2020-05-20,69.478996,70.521004,69.362503,70.335999,70.335999,33108000
2020-05-21,70.400002,70.774498,69.672501,70.139999,70.139999,27700000
2020-05-22,69.835503,70.638,69.591499,70.521004,70.521004,26188000
2020-05-26,71.863503,72.050003,70.606499,70.850998,70.850998,41212000
2020-05-27,70.862503,71.086998,69.564499,70.891998,70.891998,33716000
2020-05-28,69.843002,72.042,69.800003,70.836502,70.836502,33844000
2020-05-29,70.847,71.628502,70.667503,71.445999,71.445999,36418000
2020-06-01,70.919502,71.898003,70.900002,71.591003,71.591003,24342000
2020-06-02,71.527496,71.980499,70.941498,71.960999,71.960999,25562000
2020-06-03,71.915001,72.327599,71.488853,71.819,71.819,25124000
