Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,4.916571,5.071989,4.868253,5.048826,5.048826,636143518
2005-01-04,5.016198,5.054305,4.818937,4.844342,4.844342,552298420
2005-01-05,4.81819,4.904118,4.787804,4.819685,4.819685,330698912
2005-01-06,4.858788,4.879212,4.675475,4.696148,4.696148,417041336
2005-01-07,4.748203,4.838116,4.701876,4.828153,4.828153,387964757
2005-01-10,4.844342,4.934006,4.777841,4.85829,4.85829,302714411
2005-01-11,4.872238,4.924293,4.811465,4.820432,4.820432,279391317
2005-01-12,4.840108,4.879959,4.744716,4.86626,4.86626,328338096
2005-01-13,4.86626,4.916322,4.833134,4.865015,4.865015,275002929
2005-01-14,4.881702,4.981578,4.835127,4.980582,4.980582,387057368
2005-01-18,5.005488,5.10636,4.947954,5.078465,5.078465,528878966
2005-01-19,5.097145,5.113334,4.899386,4.914081,4.914081,451995865
2005-01-20,4.794529,4.887929,4.782076,4.829896,4.829896,361413608
2005-01-21,4.845338,4.865762,4.685438,4.689423,4.689423,371724110
2005-01-24,4.699635,4.715575,4.491166,4.501129,4.501129,563010421
2005-01-25,4.531515,4.538987,4.390792,4.411465,4.411465,427966132
2005-01-26,4.465014,4.717567,4.462025,4.713333,4.713333,494161321
2005-01-27,4.701378,4.703869,4.61271,4.684442,4.684442,266089645
2005-01-28,4.73276,4.849324,4.641104,4.740731,4.740731,490158373
2005-01-31,4.824168,4.890669,4.775102,4.872238,4.872238,385306832
2005-02-01,4.841353,4.898141,4.747954,4.779585,4.779585,756384528
2005-02-02,5.368627,5.39976,5.072487,5.129772,5.129772,1316889593
2005-02-03,5.13052,5.314331,5.126036,5.251815,5.251815,521471303
2005-02-04,5.142475,5.174355,5.046086,5.089922,5.089922,594993855
2005-02-07,5.112338,5.140731,4.869498,4.882449,4.882449,520359150
2005-02-08,4.905613,4.981827,4.845089,4.947456,4.947456,460921194
2005-02-09,5.000258,5.021179,4.718813,4.771615,4.771615,689434520
2005-02-10,4.781328,4.787306,4.613956,4.681951,4.681951,762154073
2005-02-11,4.649074,4.790046,4.634379,4.667505,4.667505,526606480
2005-02-14,4.55418,4.808975,4.508103,4.806733,4.806733,1548269624
2005-02-15,4.821926,4.977344,4.808975,4.862524,4.862524,1035177611
2005-02-16,4.849324,4.964641,4.839361,4.941727,4.941727,663770685
