Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,10.523555,10.851077,10.416457,10.840119,10.840119,526815259
2006-01-04,11.056059,11.182087,10.952697,11.089434,11.089434,613747887
2006-01-05,11.108363,11.246595,10.996283,11.238874,11.238874,433952486
2006-01-06,11.379098,11.718576,11.288687,11.598028,11.598028,712938289
2006-01-09,11.616708,11.790805,11.480468,11.628912,11.628912,513593887
2006-01-10,11.567144,11.712349,11.507866,11.700145,11.700145,365247927
2006-01-11,11.737754,11.833396,11.685699,11.74672,11.74672,361646478
2006-01-12,11.798775,11.830407,11.494416,11.547467,11.547467,406530084
2006-01-13,11.564404,11.628663,11.497156,11.612723,11.612723,307411953
2006-01-17,11.53327,11.703632,11.52007,11.634142,11.634142,332051965
2006-01-18,11.140742,11.391303,11.03987,11.081215,11.081215,822499417
2006-01-19,11.23713,11.294914,10.784577,10.870505,10.870505,583671575
2006-01-20,10.926545,10.95967,9.831649,9.949208,9.949208,1650832619
2006-01-23,10.146469,10.669757,10.105373,10.64759,10.64759,913065614
2006-01-24,10.860044,11.082211,10.821439,11.03439,11.03439,620902605
2006-01-25,11.239372,11.313345,10.69043,10.784577,10.784577,752401655
2006-01-26,10.947466,10.958674,10.549458,10.816208,10.816208,518982008
2006-01-27,10.83439,10.914589,10.684452,10.796781,10.796781,339355237
2006-01-30,10.690679,10.791551,10.585324,10.630654,10.630654,344843732
2006-01-31,10.724054,10.948961,10.55967,10.776108,10.776108,885948351
2006-02-01,9.689432,10.012471,9.651823,10.006991,10.006991,1088966472
2006-02-02,10.057801,10.124551,9.862533,9.864027,9.864027,474078326
2006-02-03,9.803753,9.810727,9.279468,9.50313,9.50313,734012987
2006-02-06,9.596779,9.7111,9.453566,9.591549,9.591549,358956433
2006-02-07,9.538996,9.556679,9.049829,9.163652,9.163652,667701363
2006-02-08,9.1776,9.232644,8.833639,9.192544,9.192544,835283155
2006-02-09,9.245346,9.325047,8.869505,8.935757,8.935757,478282024
2006-02-10,9.01496,9.078472,8.795532,9.031398,9.031398,611222457
2006-02-13,8.633639,8.732269,8.515332,8.610227,8.610227,791668286
2006-02-14,8.601011,8.759418,8.528035,8.550949,8.550949,588357072
2006-02-15,8.49989,8.617699,8.414211,8.527537,8.527537,519821141
2006-02-16,8.60948,9.140738,8.58009,9.127289,9.127289,855815829
2006-02-17,9.211971,9.268758,9.056554,9.184325,9.184325,574955025
2006-02-21,9.126791,9.303628,9.093665,9.130527,9.130527,348742290
2006-02-22,9.144474,9.189306,9.062531,9.103129,9.103129,260018976
2006-02-23,9.106118,9.495409,9.100639,9.416455,9.416455,503945859
2006-02-24,9.397277,9.466268,9.302382,9.399767,9.399767,260344190
2006-02-27,9.496156,9.755932,9.471498,9.723056,9.723056,410019113
2006-02-28,9.793292,9.901387,8.431148,9.031647,9.031647,1583416872
2006-03-01,9.179593,9.20176,8.99877,9.085944,9.085944,484256334
2006-03-02,9.072992,9.491922,9.021186,9.376106,9.376106,735960259
2006-03-03,9.571623,9.644849,9.35892,9.419195,9.419195,480273461
2006-03-06,9.48719,9.549207,9.144225,9.168136,9.168136,358928328
2006-03-07,9.091423,9.176853,8.920314,9.077226,9.077226,416708092
2006-03-08,8.815208,8.967139,8.730775,8.813963,8.813963,471585016
2006-03-09,8.851572,8.929779,8.505619,8.542979,8.542979,558501584
2006-03-10,8.555432,8.580339,8.257798,8.405992,8.405992,775921484
2006-03-13,8.491422,8.620189,8.354934,8.395033,8.395033,547741403
2006-03-14,8.397026,8.776354,8.284448,8.746217,8.746217,740794310
2006-03-15,8.736503,8.774611,8.481459,8.580339,8.580339,512666424
2006-03-16,8.682705,8.686192,8.415955,8.437624,8.437624,402169802
2006-03-17,8.438371,8.512593,8.341982,8.463028,8.463028,343350155
2006-03-20,8.52654,8.719567,8.506615,8.672244,8.672244,417864410
2006-03-21,8.717574,8.75867,8.445345,8.466266,8.466266,394717975
2006-03-22,8.462032,8.570376,8.405992,8.473738,8.473738,304978867
2006-03-23,8.526789,8.611472,8.47324,8.515332,8.515332,298502683
2006-03-24,9.181087,9.2177,9.028907,9.11085,9.11085,609500025
2006-03-27,9.14298,9.258049,9.090925,9.207737,9.207737,282001062
2006-03-28,9.258049,9.411224,9.244599,9.394786,9.394786,359173242
2006-03-29,9.46303,9.937751,9.45232,9.837626,9.837626,763952790
2006-03-30,9.693417,9.800764,9.554438,9.674737,9.674737,590673723
2006-03-31,9.682209,9.760166,9.564898,9.713591,9.713591,1466331647
2006-04-03,9.701885,9.77511,9.662034,9.706119,9.706119,326125835
2006-04-04,9.7111,10.0847,9.667265,10.070752,10.070752,630984252
2006-04-05,10.166892,10.325547,10.032894,10.161662,10.161662,538430634
2006-04-06,10.124302,10.308611,10.097901,10.241114,10.241114,345229172
2006-04-07,10.271749,10.282708,10.062782,10.116082,10.116082,282089392
2006-04-10,10.138997,10.390305,10.093417,10.370628,10.370628,374201361
2006-04-11,10.371625,10.438374,10.117577,10.203256,10.203256,445953300
2006-04-12,10.186817,10.24485,10.091923,10.185572,10.185572,241582128
2006-04-13,10.177602,10.205746,9.975111,10.016456,10.016456,263098475
2006-04-17,10.048585,10.273991,9.983579,10.132521,10.132521,331618345
2006-04-18,10.160167,10.20749,10.000017,10.068262,10.068262,326724069
2006-04-19,10.275734,10.302384,10.130279,10.224177,10.224177,272284779
2006-04-20,10.23688,10.361164,10.166892,10.336257,10.336257,492699864
2006-04-21,11.180592,11.225922,10.863531,10.886694,10.886694,905433112
2006-04-24,10.943979,11.075984,10.872248,10.971377,10.971377,354780840
2006-04-25,10.949708,10.984826,10.61023,10.639122,10.639122,384194678
2006-04-26,10.653568,10.710853,10.548711,10.609483,10.609483,292203159
2006-04-27,10.533269,10.632895,10.445597,10.461538,10.461538,334766100
